question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
"Is the Zoom URL for office hours shared with everyone, or only with instructors and TAs?",489dd1c9d9,good,"The agent answer matches the ground truth. It correctly states that the Zoom link is only for instructors/presenters/TAs and that students join via YouTube Live and ask questions through Slido. It also mentions the announcements channel for the video URL. The only minor omission is the extra note about not posting questions in chat, but that is not essential to the main question.",good,"The search query was relevant and contained the key concepts from the question (Zoom URL, office hours, shared with everyone, instructors/TAs). One search was sufficient, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
"Can I watch the workshop live on YouTube, and where should I send my questions during the stream?",489dd1c9d9,good,"The agent answer matches the ground truth on the key points: students can watch live on the DataTalksClub YouTube channel, and questions should be sent to Slido with the link pinned in chat when live. It also correctly advises not to post questions in the chat. It omits some extra details from the FAQ (Telegram/Slack announcement and the zoom link restriction), but those are not required to answer the user's question.",good,"The single search query was relevant to the question and included the main keywords about watching live on YouTube and where to send questions. One search call was sufficient, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
"Where do I begin if I just joined the LLM Zoomcamp, and which docs or repo should I check first?",04919992b3,good,"The agent answer matches the ground truth on the key points: it recommends starting with the LLM Zoomcamp docs, the general Zoomcamp logistics docs, and the LLM Zoomcamp GitHub repository, and it includes the typical workflow. However, it adds an extra claim that the GitHub repo should be checked first as the main entry point, which is not stated in the ground truth and slightly changes the emphasis. Still, the core answer is correct.",good,"The search query was relevant and included important keywords from the question such as LLM Zoomcamp, begin, docs, and repo. Only one search call was made, which is reasonable for a straightforward factual lookup. The tool call supported the final answer."
"Can I start the course at any time, or do I have to wait for a specific date?",04919992b3,good,"The agent’s answer matches the key point in the ground truth: you can start the course whenever you want, and homework is tied to deadlines on the course platform. It omits some extra details from the original answer (links, suggested workflow, and the note about homework being similar to the lesson flow), but those are not necessary to answer the student’s question. Overall, the answer is correct.",good,"The single search query was relevant to the question and contained important keywords about starting anytime and dates. One search was sufficient, and there were no unnecessary duplicate calls. The tool use was reasonable and supported the final answer."
What’s the usual weekly routine for this course from watching the videos to turning in homework?,04919992b3,good,"The agent answer matches the ground truth closely. It includes the same four-step workflow (watch videos, work through notebooks/code, read homework instructions on GitHub, submit via course platform before deadline) and also preserves the extra notes about starting anytime and homework being similar but slightly different. It omits explicit links to the docs/repository, but the key informational content is preserved, so the answer is correct.",good,"The single search query is relevant to the user’s question and contains key ideas like weekly routine, videos, homework, and course schedule. One search is reasonable here, and there were no unnecessary duplicate calls. The tool call supports the final answer adequately."
"Where are the deadlines and course materials kept, and how do I know when assignments are due?",04919992b3,good,"The agent answer matches the ground truth well. It correctly identifies the course management platform as the place to check deadlines and due assignments, and the GitHub repo/docs as the location for course materials and homework instructions. It also includes the relevant links from the original answer and mentions submitting homework before the deadline. While it adds a bit of extra wording about weekly workflow and progress tracking, this does not conflict with the original answer and the key information is preserved.",good,"The single search query is relevant to the question and includes the main concepts (deadlines, course materials, assignments due). One search is reasonable here, and there were no unnecessary duplicate calls. The tool use supports the final answer, even though the query was somewhat generic rather than targeted to the specific course names."
"Is the homework basically the same as the lesson work, or does it use different data/tasks?",04919992b3,good,"The agent answer matches the ground truth: it says homework follows the lesson workflow but usually uses different data or slightly different tasks. That is the key point of the original answer. It omits the extra logistics/resources details, but the student only asked about homework vs lesson work, so the core answer is correct.",good,"The search query was relevant to the question and included the key idea of homework vs lesson work and different data/tasks. Only one search was needed, and there were no unnecessary duplicate calls. The tool use was reasonable and supported the final answer."
How do I find my own entry on the leaderboard if I can’t see my name right away?,c2903069a0,good,"The agent’s answer matches the key point from the ground truth: use the “Jump to your record on the leaderboard” link to find your entry. It also correctly mentions “Edit Course Profile” for checking the display/public name. It omits some extra details about random assigned names and the second field for official name, but the question only asked how to find the entry, so the core answer is correct.",good,"The search query was relevant and contained the main idea of the question. Only one search was needed, which is reasonable. The tool call supported the final answer without unnecessary duplication."
Why does the leaderboard show a random name for me instead of my real one?,c2903069a0,good,"The agent’s answer matches the ground truth well. It explains that the leaderboard shows a random anonymous display name by default, gives the example “Lucid Elbakyan,” and correctly states that this can be changed in Edit Course Profile. It also correctly distinguishes the first field as the leaderboard/display name and the second as the official name for the certificate. The only omitted detail is the instruction to click “Jump to your record on the leaderboard” to find the entry, but that is extra rather than essential to the question.",good,"The single search query was relevant and included key terms from the question (“leaderboard,” “random name,” “real name”). One search call was sufficient, and there were no unnecessary or duplicate tool calls. The tool use reasonably supported the final answer."
Where can I check what my display name is in the course profile?,c2903069a0,good,"The agent’s answer matches the key information in the ground truth: it says to click “Edit Course Profile” to see the display name, and correctly identifies the first field as the nickname/display name and the second as the official certificate name. It omits some extra context from the original (random assigned name and leaderboard link), but that is not necessary for the question asked.",good,"The single search query was relevant and contained the core keywords from the question (“display name,” “course profile”). One search was reasonable, and the tool call supported the final answer. There were no unnecessary or duplicate calls."
Can I change the nickname that appears on the leaderboard to my Slack or GitHub name?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly states that in Edit Course Profile, the first field controls the public nickname/display name shown on the leaderboard and can be changed to a Slack or GitHub username, while the second field is for the official legal name used on the certificate. This contains the key information asked by the student.",good,"The search query was relevant and included the important keywords from the question, such as leaderboard, nickname, Slack, GitHub, and change. Only one search call was made, which is reasonable for this straightforward FAQ-style question."
What name should I put in my profile so my certificate doesn’t show the default random name?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says to put the official name from an ID/passport in the second field of Edit Course Profile so the certificate does not show the default random name, and it notes that the first field is the display/nickname. This contains the key information from the original answer.",good,"The single search query is relevant to the question and includes the main concepts about certificate, default random name, and profile name. One search call is reasonable, and there were no unnecessary duplicate calls."
Can I do the course on my own schedule and still receive the certificate?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says that self-paced study is allowed, but no certificate is awarded unless the course is completed with a live cohort. It also captures the reason: peer-reviewing capstones/projects must happen while the course is running.",good,"The single search query was relevant and contained key concepts from the question (self-paced, certificate, course FAQ). One search was sufficient, and there were no unnecessary or duplicate calls. The tool use reasonably supported the final answer."
Do you give certificates for the self-paced version of the course?,69d122f12e,good,"The agent answer matches the ground truth. It correctly says no certificates are given for the self-paced version, and that certificates are only available for completing the course with a live cohort. It also captures the peer-review/capstone rationale, which is the key supporting detail in the original answer.",good,"The tool call was relevant and used appropriate keywords from the question ('certificates', 'self-paced version', 'course'). Only one search was needed, and it directly supported the final answer. The trajectory was reasonable."
Is there any way to get the certificate without joining a live cohort?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says there is no way to get the certificate without joining a live cohort, and it includes the key reason that self-paced mode does not award certificates because peer-review of capstone projects must happen while the course is running. This covers the essential points from the original answer, even though it omits the more detailed note about peer-reviewing 3 capstones and the form closing after the peer-review list is compiled.",good,"The tool call was reasonable and relevant. The search query included the important concepts from the question: certificate, live cohort, self-paced, and FAQ. Only one search was needed, and it was not duplicated or unnecessarily expanded. The tool use supported the final answer."
Why doesn't the self-paced mode come with a certificate?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that certificates are only awarded for finishing with a live cohort, not in self-paced mode, and explains the peer-review requirement and why it can’t be completed after the course ends. This contains the key information from the original answer.",good,"The search query was relevant and closely matched the question’s wording. Only one search call was made, which is reasonable for this straightforward FAQ-style question, and it supported the final answer adequately."
Do I need to take part in peer review to qualify for the certificate?,69d122f12e,bad,"The agent’s answer does not match the ground truth. The correct answer is that you do not get a certificate in self-paced mode; certificates are only awarded for a live cohort, and peer review is part of that live-cohort process. The agent incorrectly says 'Yes' and implies peer review itself is the condition, missing the key point that self-paced learners cannot earn a certificate at all.",good,"The search query was somewhat relevant, but it was generic and did not specifically target the course FAQ wording about live cohort vs self-paced mode. Only one search call was made, which is reasonable, but it did not help produce the correct answer and missed important keywords from the question such as 'certificate' and 'peer review' in the context of live cohort/self-paced mode."
Do I still get the certificate if I skipped the first homework?,9f689c185f,good,"The agent’s answer matches the ground truth: it states that homework is not mandatory, skipping the first homework does not prevent receiving the certificate, and passing the Capstone project is required. It also correctly mentions that homework points only affect leaderboard rank. This contains the key information from the original answer.",good,"The single search query was relevant and included core keywords related to certificate eligibility and homework. One search call was reasonable, and there were no unnecessary or duplicate tool calls. The tool call supported the final answer."
Is the Capstone project the only thing I need to pass for the certificate?,9f689c185f,good,"The agent’s answer matches the key part of the ground truth: passing the Capstone project is required for the certificate, and homework is not mandatory but recommended. However, it adds extra requirements about being in the live cohort and completing peer reviews that are not present in the original answer, so it is not an exact match. Since the core certificate requirement is correct but there is added unsupported information, this is still mostly correct but not fully faithful.",good,"The tool call was relevant and used appropriate keywords from the question (Capstone project, certificate). Only one search was made, which is reasonable. There were no unnecessary duplicate calls, though the search query was fairly broad."
"Are the homework assignments required, or just optional practice?",9f689c185f,good,"The agent answer matches the ground truth. It clearly states homework is not mandatory/optional practice and mentions leaderboard rank. It also correctly says the certificate requires passing the Capstone project, which is consistent with the original answer. Minor wording differences do not change the meaning.",good,"The single search query is relevant and contains the key terms from the question (homework assignments, required, optional practice). One search call is sufficient here, and the tool use directly supports the final answer."
"If homework isn't mandatory, does it still affect anything like my score or ranking?",9f689c185f,good,"The agent answer matches the ground truth on the key point: homework is not mandatory, but the points count toward leaderboard rank. It also correctly states that skipping homework won't block the certificate. The original answer additionally mentions needing to pass the Capstone project to get the certificate, which the user asked less directly about, but the agent's answer still covers the main implication about homework affecting ranking.",good,"The search query was relevant and included important keywords from the question such as homework, mandatory, score/ranking, and points. Only one search call was made, which is reasonable given the straightforward FAQ-style question. The tool call supported the final answer."
Will missing one homework prevent me from finishing the course and getting certified?,9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that missing one homework does not prevent certification, that homework is not mandatory, and that passing the Capstone project is required. It also notes that homework points affect leaderboard rank, which is consistent with the original answer. The phrasing is slightly different, but the key information is the same.",good,"The tool call was relevant and included important keywords from the question such as homework, finishing the course, and getting certified. A single search was sufficient here, and there were no unnecessary duplicate calls. The search supported the final answer appropriately."
Why does the homework keep changing before it’s released?,96286b4be4,good,"The agent answer matches the ground truth well. It correctly explains that the homework is still in draft form when the title contains [DRAFT], states the two conditions for readiness (form open and title no longer containing [DRAFT]), and notes that doing the work in advance is at the student's own risk because the final version may change. This preserves the key information from the original answer.",good,"The single search query is relevant to the question and reasonably broad. It includes the main idea of homework changing before release, though it does not explicitly include keywords like [DRAFT]. Still, one search call is sufficient here, and there were no unnecessary duplicate calls. The tool use was reasonable and supported the final answer."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The agent’s answer matches the ground truth closely. It correctly states that a homework title with [DRAFT] means the homework is not ready yet, that it is ready only when the form is open and the title no longer contains [DRAFT], and that working on it early is at the student’s own risk because it may still change. No key information is missing.",good,"The single search query is relevant and contains the key term [DRAFT] along with 'homework title meaning'. One search call is reasonable, and there were no unnecessary or duplicate calls. The tool use supports the final answer."
How can I tell if the homework is actually ready to work on?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states the two conditions for readiness: the homework form must be open and the title must not contain [DRAFT]. It also includes the key implication that if [DRAFT] is present, the homework is not ready, and warns that working early is at the student's own risk because the final version may change. This preserves the essential meaning of the original answer.",good,"The single search query directly matched the user's question and was sufficient to retrieve the needed information. There were no unnecessary duplicate calls, and no further refinement was needed."
Is it safe to start the homework early if the page is already visible?,96286b4be4,good,"The agent’s answer matches the ground truth. It correctly states that a visible homework page alone is not sufficient, and that the homework is only ready when the form is open and the title does not contain [DRAFT]. It also includes the key warning that the content may still change and that working early is at the student’s own risk.",good,"The single search query is relevant to the question and attempts to locate guidance about starting homework early when the page is visible. Although it is somewhat broad, it includes the key idea of early access/visibility. One search call is reasonable, and there were no unnecessary duplicate calls."
Why do the homework instructions or tasks get updated sometimes?,96286b4be4,good,"The agent answer matches the ground truth well. It explains that homework can still change while it is being finalized, states that a `[DRAFT]` title means it is not ready, and notes the two conditions for readiness: the form being open and the title not containing `[DRAFT]`. It also includes the warning that working early is at your own risk because the final version may differ. This covers the key information from the original answer.",good,"The single search query is relevant to the question and uses appropriate keywords about homework instructions being updated. Although it is somewhat broad, one search call is reasonable for this straightforward FAQ-style question. There were no unnecessary duplicate calls, and the tool use did not interfere with the final answer."
When is the next time this course will be offered?,bd31146b0e,good,The agent's answer exactly matches the ground truth: it states the next offering is Summer 2027. No key information is missing or incorrect.,good,"The tool call used a relevant query closely aligned with the question's wording and the key concept of when the course will next be offered. Only one search was needed, and it was reasonable and not redundant."
Do you know when the next cohort for this course starts?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning: it states the next cohort is Summer 2027. No missing or conflicting information.,good,"The single search query is relevant to the question and the number of tool calls is reasonable. While the query is somewhat generic, it still targets the needed information and supports the final answer."
Is there a planned date for the next run of the course?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key detail: the next planned run is Summer 2027. No missing or incorrect information.,good,"The search query is directly relevant to the question and includes the important concepts 'planned date' and 'next run of the course'. Only one search call was made, which is reasonable for this simple factual question, and it supports the final answer."
When can I expect this course to be available again?,bd31146b0e,good,The agent answer matches the ground truth exactly in substance: it states the course will be offered again in Summer 2027. The extra sentence offering help is harmless and does not change the answer.,good,"The single search query is relevant to the question about course availability, though it is somewhat generic and does not include the specific time phrase 'Summer 2027.' Still, one search call is reasonable and sufficient, and there were no unnecessary duplicate calls."
What’s the next offering of this course after now?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning and content: it states that the next offering is Summer 2027. No missing or conflicting information.,good,"The search query is relevant to the user’s question about the next offering after now, and it includes appropriate scheduling-related keywords. Only one search was used, which is reasonable for this straightforward question, and there were no unnecessary duplicate calls."
Where can I find the course lectures or videos?,31456f4b5f,good,"The agent answer matches the ground truth well. It points to the LLM Zoomcamp GitHub repository as the main entry point, explains that lecture/video links are in the lesson folders, and notes that the repo is usually more up to date than the YouTube playlist. These are the key points from the original answer.",good,"The single search query is relevant enough to the question, though it is somewhat generic and does not explicitly mention LLM Zoomcamp or GitHub. Still, the final answer does not depend on the tool result and the tool usage was minimal and reasonable. One search call is acceptable here."
Is there a main place I should start if I want the lesson videos?,31456f4b5f,good,"The agent’s answer matches the ground truth well. It correctly says the main entry point is the LLM Zoomcamp GitHub repository, mentions opening lesson folders, and notes that the videos are linked at the top of each lesson page. It also captures the key point that the GitHub repo is preferred over the YouTube playlist because it is easier to keep updated. The extra offer to point to the course docs/start page does not conflict with the original answer.",good,"The tool call was reasonable. The search query was relevant to the user’s question and included the key idea of finding the main place to start for lesson videos. Only one search was needed, which is appropriate for this simple FAQ-style question. The tool use supported the final answer."
"Do I need to use the GitHub repo to watch the lectures, and how do I get to them?",31456f4b5f,good,"The agent’s answer matches the ground truth: it says the GitHub repo is the main entry point, tells the user to open the LLM Zoomcamp repo, navigate to lesson folders/pages, and notes that each lesson page has the lecture videos linked at the top. It preserves the key guidance that the repo should be used first. The extra offer to help find specific module links does not conflict with the original answer.",good,"The search query was relevant and contained the key concepts from the question (watch lectures, GitHub repo, how to get to them). Only one search call was made, which is reasonable for this simple navigation question. The tool call supports the final answer."
Why isn’t the YouTube playlist the best place to look for the course videos?,31456f4b5f,good,"The agent’s answer matches the ground truth well. It correctly states that the YouTube playlist may lag behind updates, that the GitHub repository is the main entry point, that lesson pages/folders contain the relevant video links at the top, and that the repo is preferred because it’s easier to keep updated. This preserves the key information from the original answer.",good,"The single search query is relevant to the question and contains the core topic, though it is somewhat generic. One search call is reasonable here, and there were no unnecessary duplicate calls. The tool use supports the final answer adequately."
"On the lesson pages, where are the relevant videos usually linked?",31456f4b5f,good,The agent’s answer matches the ground truth. It correctly states that relevant videos are linked at the top of each lesson page and mentions using the LLM Zoomcamp GitHub repository as the main entry point. This contains the key information from the original answer.,good,"The single search query was relevant to the question and reasonably targeted the location of linked videos on lesson pages. One search call is sufficient here, and there were no redundant or unnecessary tool calls."
